20,12,,,,,,,,,,,,,,,,,,
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2001,2004,2006,2001,1000,1000,2001
1000,1003,1009,1002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,1000,1000,1000,2001
1000,1009,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2003,2004
1000,1002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2005,2000
1000,1000,1000,1000,1000,1000,2000,2003,2000,2001,1000,1000,1000,1000,2005,2001,1000,1000,2006,2000
1000,1000,1000,1000,1000,2005,2000,2000,2000,2000,2000,1000,1000,2000,2000,2000,2000,2000,2000,2000
1000,1000,1000,1000,1000,2005,2000,2000,2000,2000,2000,1000,1000,2000,2000,2000,2000,2000,2000,2000
1000,1000,1000,1000,1000,1000,2000,2003,2000,2001,1000,1000,1000,1000,2005,2001,1000,1000,2006,2000
1000,1002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2005,2000
1000,1009,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2003,2004
1000,1003,1009,1002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,1000,1000,1000,2001
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2001,2004,2006,2001,1000,1000,2001
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
0,1,2,1,0,0,0,0,1,2,1,0,,,,,,,,
0,1,2,1,0,0,0,0,1,2,1,0,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,1,1,2,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
